# SLIMED mesh faces: v0, v1, v2, copy
368,390,369,1
390,391,369,1
369,391,370,0
391,392,370,0
370,392,371,0
392,393,371,0
371,393,372,0
393,394,372,0
372,394,373,0
394,395,373,0
373,395,374,0
395,396,374,0
374,396,375,0
396,397,375,0
375,397,376,0
397,398,376,0
399,400,377,0
377,400,378,0
400,401,378,0
378,401,379,0
401,402,379,0
379,402,380,0
402,403,380,0
380,403,381,0
403,404,381,0
381,404,382,0
404,405,382,0
382,405,383,0
405,406,383,0
383,406,384,0
406,407,384,0
384,407,385,1
407,408,385,1
385,408,386,1
408,409,386,1
386,409,387,1
409,410,387,1
411,412,388,1
412,389,388,1
412,413,389,1
413,390,389,1
413,414,390,1
414,391,390,1
414,415,391,0
415,392,391,0
415,416,392,0
416,393,392,0
416,417,393,0
417,394,393,0
417,418,394,0
418,395,394,0
418,419,395,0
419,396,395,0
419,420,396,0
420,397,396,0
420,421,397,0
421,398,397,0
421,422,398,0
424,425,399,0
425,400,399,0
425,426,400,0
426,401,400,0
426,427,401,0
427,402,401,0
427,428,402,0
428,403,402,0
428,429,403,0
429,404,403,0
429,430,404,0
430,405,404,0
430,431,405,0
431,406,405,0
431,432,406,0
432,407,406,0
432,433,407,1
433,408,407,1
433,434,408,1
434,409,408,1
434,435,409,1
435,410,409,1
411,436,412,1
436,437,412,1
412,437,413,1
437,438,413,1
413,438,414,1
438,439,414,1
414,439,415,0
439,440,415,0
415,440,416,0
440,441,416,0
416,441,417,0
441,442,417,0
417,442,418,0
442,443,418,0
418,443,419,0
443,444,419,0
419,444,420,0
444,445,420,0
420,445,421,0
445,446,421,0
421,446,422,0
446,447,422,0
422,447,423,0
447,448,423,0
423,448,424,0
448,449,424,0
424,449,425,0
449,450,425,0
425,450,426,0
450,451,426,0
426,451,427,0
451,452,427,0
427,452,428,0
452,453,428,0
428,453,429,0
453,454,429,0
429,454,430,0
454,455,430,0
430,455,431,0
455,456,431,0
431,456,432,0
456,457,432,0
432,457,433,1
457,458,433,1
433,458,434,1
458,459,434,1
434,459,435,1
459,460,435,1
461,462,436,1
462,437,436,1
462,463,437,1
463,438,437,1
463,464,438,1
464,439,438,1
464,465,439,0
465,440,439,0
465,466,440,0
466,441,440,0
466,467,441,0
467,442,441,0
467,468,442,0
468,443,442,0
468,469,443,0
469,444,443,0
469,470,444,0
470,445,444,0
470,471,445,0
471,446,445,0
471,472,446,0
472,447,446,0
472,473,447,0
473,448,447,0
473,474,448,0
474,449,448,0
474,475,449,0
475,450,449,0
475,476,450,0
476,451,450,0
476,477,451,0
477,452,451,0
477,478,452,0
478,453,452,0
478,479,453,0
479,454,453,0
479,480,454,0
480,455,454,0
480,481,455,0
481,456,455,0
481,482,456,0
482,457,456,0
482,483,457,1
483,458,457,1
483,484,458,1
484,459,458,1
484,485,459,1
485,460,459,1
461,486,462,1
486,487,462,1
462,487,463,1
487,488,463,1
463,488,464,1
488,489,464,1
464,489,465,0
489,490,465,0
465,490,466,0
490,491,466,0
466,491,467,0
491,492,467,0
467,492,468,0
492,493,468,0
468,493,469,0
493,494,469,0
469,494,470,0
494,495,470,0
470,495,471,0
495,496,471,0
471,496,472,0
496,497,472,0
472,497,473,0
497,498,473,0
473,498,474,0
498,499,474,0
474,499,475,0
499,500,475,0
475,500,476,0
500,501,476,0
476,501,477,0
501,502,477,0
477,502,478,0
502,503,478,0
478,503,479,0
503,504,479,0
479,504,480,0
504,505,480,0
480,505,481,0
505,506,481,0
481,506,482,0
506,507,482,0
482,507,483,1
507,508,483,1
483,508,484,1
508,509,484,1
484,509,485,1
509,510,485,1
511,512,486,1
512,487,486,1
512,513,487,1
513,488,487,1
513,514,488,1
514,489,488,1
514,515,489,0
515,490,489,0
515,516,490,0
516,491,490,0
516,517,491,0
517,492,491,0
517,518,492,0
518,493,492,0
518,519,493,0
519,494,493,0
519,520,494,0
520,495,494,0
520,521,495,0
521,496,495,0
521,522,496,0
522,497,496,0
522,523,497,0
523,498,497,0
523,524,498,0
524,499,498,0
524,525,499,0
525,500,499,0
525,526,500,0
526,501,500,0
526,527,501,0
527,502,501,0
527,528,502,0
528,503,502,0
528,529,503,0
529,504,503,0
529,530,504,0
530,505,504,0
530,531,505,0
531,506,505,0
531,532,506,0
532,507,506,0
532,533,507,1
533,508,507,1
533,534,508,1
534,509,508,1
534,535,509,1
535,510,509,1
511,536,512,1
536,537,512,1
512,537,513,1
537,538,513,1
513,538,514,1
538,539,514,1
514,539,515,0
539,540,515,0
515,540,516,0
540,541,516,0
516,541,517,0
541,542,517,0
517,542,518,0
542,543,518,0
518,543,519,0
543,544,519,0
519,544,520,0
544,545,520,0
520,545,521,0
545,546,521,0
521,546,522,0
546,547,522,0
522,547,523,0
547,548,523,0
523,548,524,0
548,549,524,0
524,549,525,0
549,550,525,0
525,550,526,0
550,551,526,0
526,551,527,0
551,552,527,0
527,552,528,0
552,553,528,0
528,553,529,0
553,554,529,0
529,554,530,0
554,555,530,0
530,555,531,0
555,556,531,0
531,556,532,0
556,557,532,0
532,557,533,1
557,558,533,1
533,558,534,1
558,559,534,1
534,559,535,1
559,560,535,1
561,562,536,1
562,537,536,1
562,563,537,1
563,538,537,1
563,564,538,1
564,539,538,1
564,565,539,0
565,540,539,0
565,566,540,0
566,541,540,0
566,567,541,0
567,542,541,0
567,568,542,0
568,543,542,0
568,569,543,0
569,544,543,0
569,570,544,0
570,545,544,0
570,571,545,0
571,546,545,0
571,572,546,0
572,547,546,0
572,573,547,0
573,548,547,0
573,574,548,0
574,549,548,0
574,575,549,0
575,550,549,0
575,576,550,0
576,551,550,0
576,577,551,0
577,552,551,0
577,578,552,0
578,553,552,0
578,579,553,0
579,554,553,0
579,580,554,0
580,555,554,0
580,581,555,0
581,556,555,0
581,582,556,0
582,557,556,0
582,583,557,1
583,558,557,1
583,584,558,1
584,559,558,1
584,585,559,1
585,560,559,1
561,586,562,1
586,587,562,1
562,587,563,1
587,588,563,1
563,588,564,1
588,589,564,1
564,589,565,0
589,590,565,0
565,590,566,0
590,591,566,0
566,591,567,0
591,592,567,0
567,592,568,0
592,593,568,0
568,593,569,0
593,594,569,0
569,594,570,0
594,595,570,0
570,595,571,0
595,596,571,0
571,596,572,0
596,597,572,0
572,597,573,0
597,598,573,0
573,598,574,0
598,599,574,0
574,599,575,0
599,600,575,0
575,600,576,0
600,601,576,0
576,601,577,0
601,602,577,0
577,602,578,0
602,603,578,0
578,603,579,0
603,604,579,0
579,604,580,0
604,605,580,0
580,605,581,0
605,606,581,0
581,606,582,0
606,607,582,0
582,607,583,1
607,608,583,1
583,608,584,1
608,609,584,1
584,609,585,1
609,610,585,1
611,612,586,1
612,587,586,1
612,613,587,1
613,588,587,1
613,614,588,1
614,589,588,1
614,615,589,0
615,590,589,0
615,616,590,0
616,591,590,0
616,617,591,0
617,592,591,0
617,618,592,0
618,593,592,0
618,619,593,0
619,594,593,0
619,620,594,0
620,595,594,0
620,621,595,0
621,596,595,0
621,622,596,0
622,597,596,0
622,623,597,0
623,598,597,0
623,624,598,0
624,599,598,0
624,625,599,0
625,600,599,0
625,626,600,0
626,601,600,0
626,627,601,0
627,602,601,0
627,628,602,0
628,603,602,0
628,629,603,0
629,604,603,0
629,630,604,0
630,605,604,0
630,631,605,0
631,606,605,0
631,632,606,0
632,607,606,0
632,633,607,1
633,608,607,1
633,634,608,1
634,609,608,1
634,635,609,1
635,610,609,1
611,636,612,1
636,637,612,1
612,637,613,1
637,638,613,1
613,638,614,1
638,639,614,1
614,639,615,1
639,640,615,1
615,640,616,1
640,641,616,1
616,641,617,1
641,642,617,1
