r,h
5.703703703703703809e+01,-1.056229692270200715e+01
5.712212212212212137e+01,-1.058920467745865857e+01
5.720720720720720465e+01,-1.061604045067830526e+01
5.729229229229228793e+01,-1.064280447433691101e+01
5.737737737737737831e+01,-1.066949697903846506e+01
5.746246246246246159e+01,-1.069611819402642183e+01
5.754754754754755197e+01,-1.072266834719501105e+01
5.763263263263263525e+01,-1.074914766510040387e+01
5.771771771771771853e+01,-1.077555637297180446e+01
5.780280280280280181e+01,-1.080189469472237462e+01
5.788788788788788509e+01,-1.082816285296007131e+01
5.797297297297296836e+01,-1.085436106899835629e+01
5.805805805805805875e+01,-1.088048956286679747e+01
5.814314314314314203e+01,-1.090654855332154227e+01
5.822822822822823241e+01,-1.093253825785570754e+01
5.831331331331331569e+01,-1.095845889270963269e+01
5.839839839839839897e+01,-1.098431067288103691e+01
5.848348348348348225e+01,-1.101009381213506622e+01
5.856856856856856552e+01,-1.103580852301424109e+01
5.865365365365364880e+01,-1.106145501684828503e+01
5.873873873873873919e+01,-1.108703350376386432e+01
5.882382382382382247e+01,-1.111254419269421589e+01
5.890890890890891285e+01,-1.113798729138869170e+01
5.899399399399399613e+01,-1.116336300642217338e+01
5.907907907907907941e+01,-1.118867154320441948e+01
5.916416416416416268e+01,-1.121391310598930424e+01
5.924924924924924596e+01,-1.123908789788395168e+01
5.933433433433432924e+01,-1.126419612085779143e+01
5.941941941941941963e+01,-1.128923797575150978e+01
5.950450450450450290e+01,-1.131421366228591197e+01
5.958958958958959329e+01,-1.133912337907069912e+01
5.967467467467467657e+01,-1.136396732361314577e+01
5.975975975975975985e+01,-1.138874569232669920e+01
5.984484484484484312e+01,-1.141345868053947932e+01
5.992992992992992640e+01,-1.143810648250270567e+01
6.001501501501500968e+01,-1.146268929139902859e+01
6.010010010010010006e+01,-1.148720729935078211e+01
6.018518518518518334e+01,-1.151166069742814457e+01
6.027027027027027373e+01,-1.153604967565723705e+01
6.035535535535535701e+01,-1.156037442302811158e+01
6.044044044044044028e+01,-1.158463512750268976e+01
6.052552552552552356e+01,-1.160883197602259997e+01
6.061061061061060684e+01,-1.163296515451694013e+01
6.069569569569569012e+01,-1.165703484790997990e+01
6.078078078078078050e+01,-1.168104124012875999e+01
6.086586586586586378e+01,-1.170498451411063456e+01
6.095095095095095417e+01,-1.172886485181074256e+01
6.103603603603603744e+01,-1.175268243420937786e+01
6.112112112112112072e+01,-1.177643744131933090e+01
6.120620620620620400e+01,-1.180013005219311140e+01
6.129129129129128728e+01,-1.182376044493013723e+01
6.137637637637637056e+01,-1.184732879668383276e+01
6.146146146146146094e+01,-1.187083528366866503e+01
6.154654654654654422e+01,-1.189428008116710345e+01
6.163163163163163460e+01,-1.191766336353653344e+01
6.171671671671671788e+01,-1.194098530421606696e+01
6.180180180180180116e+01,-1.196424607573333354e+01
